TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200700A,423940,"Jewelry, watch, precious stone, & precious metals",1848,$1236733740.45
201100A,235910,Structural Steel Erection Contractors (1997 NAICS),107,$86852334.40
201300A,812310,Coin-operated laundries & drycleaners,578,$82753373.00
201600A,423990,Other miscellaneous durable goods,2476,$1299222633.61
201400A,446130,Optical goods stores,211,$125553011.00
201600A,325100,Basic chemical mfg.,35,$33427591.00
201400A,424600,Chemical & allied products,223,$1384747352.00
201600A,541100,Legal services,7534,$9566212117.20
200700A,722410,Drinking places (alcoholic beverages),207,$50164062.00
201300A,484110,"General freight trucking, local",719,$142805604.16
201600A,446190,Other health & personal care stores,727,$341822926.58
200700A,621210,Offices of dentists,83,$21689866.00
200800A,235910,Structural Steel Erection Contractors (1997 NAICS),86,$154589247.00
200900A,522300,Activities related to credit intermediation (including loan brokers),583,$172087191.00
201700A,523900,Other financial investment activities (including investment advice),86,$4979508.00
201400A,424910,Farm supplies,17,$19247716.00
201600A,487000,Scenic & sightseeing transportation,255,$38675471.00
200800A,711210,Spectator sports (including professional sports clubs & racetrack operations),150,$505901179.94
201200A,425110,Business to business electronic markets,58,$8405218.41
201400A,621310,Offices of chiropractors,696,$84040747.00
201500A,722211,Limited-service eating places,2034,$744121036.00
201600A,,,79219,$25512012052.98
201000A,523900,Other financial investment activities (including investment advice),1638,$5189724723.00
201000A,485990,Other transit & ground passenger transportation,189,$5009251.00
200500A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",77,$98267675.24
201600A,441300,"Automotive parts, accessories, & tire stores",1120,$315863139.00
201600A,812220,Cemeteries & crematories,12,$22112967.00
201500A,211110,Oil & gas extraction,108,$435505530.74
201000A,812190,Other personal care services (including diet & weight reducing centers),585,$30191964.50
201400A,425110,Business to business electronic markets,72,$9716390.00
201600A,445220,Fish & seafood markets,102,$102948091.00
201300A,444110,Home centers,46,$163100460.00
201000A,561440,Collection agencies,113,$56044502.00
201700A,624410,Child day care services,50,$1822482.00
200900A,541990,"All other professional, scientific, & technical services",5682,$770488869.47
200800A,424910,Farm supplies,15,$12697064.00
200900A,611000,"Educational services (including schools, colleges, & universities)",2159,$555616666.50
200800A,561740,Carpet & upholstery cleaning services,442,$29469131.00
201300A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",372,$1754891392.00
201500A,541211,Offices of certified public accountants,892,$682285533.41
200600A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),601,$426457115.97
200500A,531210,Offices of real estate agents & brokers,1309,$886944012.92
201700A,812112,Beauty salons,49,$2078029.00
201200A,238340,Tile & terrazzo contractors,241,$39983753.50
201300A,441222,Boat dealers,35,$1583511.00
201600A,712100,"Museums, historical sites, & similar institutions",15,$1010797.00
201200A,541330,Engineering services,1210,$548148351.38
200800A,424500,Farm product raw materials,42,$70946776.00
201000A,451130,"Sewing, needlework, & piece goods stores",60,$16950205.00
201400A,532290,Other consumer goods rental,4155,$1133320844.06
201500A,541320,Landscape architecture services,1001,$181685855.19
201100A,541600,"Management, scientific, & technical consulting services",8520,$1806577694.82
201500A,425110,Business to business electronic markets,85,$46432120.00
201700A,448140,Family clothing stores,19,$1205762.00
201100A,424920,"Books, periodicals, & newspapers",462,$544138416.00
201200A,811110,Automotive mechanical & electrical repair & maintenance,1675,$141818403.93
200600A,624100,Individual & family services,415,$24565077.70
201400A,621330,Offices of mental health practitioners (except physicians),1144,$104218045.58
201400A,485510,Charter bus industry,57,$27658327.00
201600A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",571,$194534809.85
201300A,541990,"All other professional, scientific, & technical services",10141,$1519988936.70
201200A,446130,Optical goods stores,199,$116164773.00
201100A,423600,Electrical & electronic goods,1100,$1780817625.00
201000A,531320,Offices of real estate appraisers,116,$7616908.80
201600A,425110,Business to business electronic markets,79,$24091544.00
201500A,233220,Multifamily Housing Construction (1997 NAICS),942,$2103733430.00
200800A,518210,"Data processing, hosting, & related services",381,$302349163.23
201000A,722410,Drinking places (alcoholic beverages),222,$55743905.00
